"period";"yearmonth";"profilID";"insurer";"coverage";"type";"date_aspiration";"price"
"Y17W25";"Y17M06";"LOAN2017_108";"AXA";"Minimum";"CLASSIQUE";"2017-06-21";"6997"
"Y17W25";"Y17M06";"LOAN2017_109";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"14598"
"Y17W25";"Y17M06";"LOAN2017_108";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-21";"7304"
"Y17W25";"Y17M06";"LOAN2017_108";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"14979"
"Y17W25";"Y17M06";"LOAN2017_108";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-21";"8225"
"Y17W25";"Y17M06";"LOAN2017_108";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-21";"8812"
"Y17W25";"Y17M06";"LOAN2017_11";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"2099"
"Y17W25";"Y17M06";"LOAN2017_108";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-21";"12110"
"Y17W25";"Y17M06";"LOAN2017_108";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-21";"12829"
"Y17W25";"Y17M06";"LOAN2017_109";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"9700"
"Y17W25";"Y17M06";"LOAN2017_110";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"5688"
"Y17W25";"Y17M06";"LOAN2017_110";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"8724"
"Y17W25";"Y17M06";"LOAN2017_109";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"11445"
"Y17W25";"Y17M06";"LOAN2017_109";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"12716"
"Y17W25";"Y17M06";"LOAN2017_111";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-25";"2929"
"Y17W25";"Y17M06";"LOAN2017_109";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"18093"
"Y17W25";"Y17M06";"LOAN2017_109";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"19769"
"Y17W25";"Y17M06";"LOAN2017_111";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-25";"1130"
"Y17W25";"Y17M06";"LOAN2017_109";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"22562"
"Y17W25";"Y17M06";"LOAN2017_112";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-23";"1336"
"Y17W25";"Y17M06";"LOAN2017_11";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"3260"
"Y17W25";"Y17M06";"LOAN2017_11";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"3435"
"Y17W25";"Y17M06";"LOAN2017_112";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-23";"3635"
"Y17W25";"Y17M06";"LOAN2017_11";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-24";"3496"
"Y17W25";"Y17M06";"LOAN2017_11";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"3811"
"Y17W25";"Y17M06";"LOAN2017_110";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"1306"
"Y17W25";"Y17M06";"LOAN2017_11";"Zen'up";"Minimum";"RESIDUAL";"2017-06-24";"2735"
"Y17W25";"Y17M06";"LOAN2017_111";"Zen'up";"Minimum";"RESIDUAL";"2017-06-25";"1612"
"Y17W25";"Y17M06";"LOAN2017_110";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"1963"
"Y17W25";"Y17M06";"LOAN2017_111";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-25";"2405"
"Y17W25";"Y17M06";"LOAN2017_213";"Zen'up";"Minimum";"RESIDUAL";"2017-06-23";"1650"
"Y17W25";"Y17M06";"LOAN2017_273";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-25";"4130"
"Y17W25";"Y17M06";"LOAN2017_273";"Zen'up";"Minimum";"RESIDUAL";"2017-06-25";"2234"
"Y17W25";"Y17M06";"LOAN2017_111";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-25";"2034"
"Y17W25";"Y17M06";"LOAN2017_111";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-25";"2125"
"Y17W25";"Y17M06";"LOAN2017_111";"AXA";"Minimum";"CLASSIQUE";"2017-06-25";"2106"
"Y17W25";"Y17M06";"LOAN2017_111";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-25";"2449"
"Y17W25";"Y17M06";"LOAN2017_111";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-25";"2699"
"Y17W25";"Y17M06";"LOAN2017_111";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"4889"
"Y17W25";"Y17M06";"LOAN2017_111";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-25";"3782"
"Y17W25";"Y17M06";"LOAN2017_111";"MAAF Assurances";"Formule Optimum";"MUTUELLE";"2017-06-25";"2911"
"Y17W25";"Y17M06";"LOAN2017_111";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-25";"3656"
"Y17W25";"Y17M06";"LOAN2017_274";"Zen'up";"Minimum";"RESIDUAL";"2017-06-25";"1367"
"Y17W25";"Y17M06";"LOAN2017_310";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-25";"3958"
"Y17W25";"Y17M06";"LOAN2017_310";"Zen'up";"Minimum";"RESIDUAL";"2017-06-25";"2055"
"Y17W25";"Y17M06";"LOAN2017_112";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-23";"2529"
"Y17W25";"Y17M06";"LOAN2017_112";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-23";"2649"
"Y17W25";"Y17M06";"LOAN2017_112";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-23";"2752"
"Y17W25";"Y17M06";"LOAN2017_112";"AXA";"Minimum";"CLASSIQUE";"2017-06-23";"3171"
